Date,Open,High,Low,Close,Adj Close,Volume
2022-06-03,101.750000,102.230003,101.639999,102.139999,102.139999,0
2022-06-05,null,null,null,null,null,null
2022-06-06,102.169998,102.470001,101.849998,102.440002,102.440002,0
2022-06-07,102.489998,102.839996,102.260002,102.320000,102.320000,0
2022-06-08,102.389999,102.779999,102.269997,102.540001,102.540001,0
2022-06-09,102.559998,103.370003,102.150002,103.220001,103.220001,0
2022-06-10,103.339996,104.230003,103.050003,104.150002,104.150002,0
2022-06-12,null,null,null,null,null,null
2022-06-13,104.209999,105.290001,104.209999,105.080002,105.080002,0
2022-06-14,105.190002,105.650002,104.620003,105.519997,105.519997,0
2022-06-15,105.349998,105.790001,104.660004,105.160004,105.160004,0
2022-06-16,104.900002,105.489998,103.419998,103.629997,103.629997,0
2022-06-17,103.879997,105.089996,103.830002,104.699997,104.699997,0
2022-06-19,null,null,null,null,null,null
2022-06-20,104.650002,104.820000,104.230003,104.480003,104.480003,0
2022-06-21,104.440002,104.540001,103.940002,104.440002,104.440002,0
2022-06-22,104.430000,104.949997,103.860001,104.199997,104.199997,0
2022-06-23,104.209999,104.769997,104.059998,104.430000,104.430000,0
2022-06-24,104.379997,104.510002,103.949997,104.190002,104.190002,0
2022-06-26,null,null,null,null,null,null
2022-06-27,104.120003,104.209999,103.669998,103.940002,103.940002,0
2022-06-28,103.970001,104.610001,103.769997,104.510002,104.510002,0
2022-06-29,104.459999,105.150002,104.360001,105.110001,105.110001,0
2022-06-30,105.059998,105.540001,104.650002,104.690002,104.690002,0
2022-07-01,104.779999,105.639999,104.739998,105.139999,105.139999,0
2022-07-03,null,null,null,null,null,null
2022-07-04,105.120003,105.250000,104.820000,105.190002,105.190002,0
2022-07-05,105.139999,106.790001,105.050003,106.500000,106.500000,0
2022-07-06,106.489998,107.260002,106.360001,107.099998,107.099998,0
2022-07-07,107.070000,107.239998,106.709999,107.129997,107.129997,0
2022-07-08,107.040001,107.790001,106.809998,107.010002,107.010002,0
2022-07-10,null,null,null,null,null,null
