date,KnownOrigin
2021-12-20,0
2021-12-21,0
2021-12-22,251
2021-12-23,353
2021-12-24,55
2021-12-25,19
2021-12-26,89
2021-12-27,138
2021-12-28,38
2021-12-29,76
2021-12-30,56
2021-12-31,55
2022-01-01,238
2022-01-02,79
2022-01-03,41
2022-01-04,130
2022-01-05,37
2022-01-06,155
2022-01-07,186
2022-01-08,174
2022-01-09,190
2022-01-10,215
2022-01-11,20
2022-01-12,216
2022-01-13,127
2022-01-14,44
2022-01-15,308
2022-01-16,230
2022-01-17,250
2022-01-18,105
2022-01-19,157
2022-01-20,77
2022-01-21,25
2022-01-22,0
2022-01-29,0
2022-01-30,0
2022-01-31,83
2022-02-01,224
2022-02-02,326
2022-02-03,283
2022-02-04,293
2022-02-05,362
2022-02-06,207
2022-02-07,178
2022-02-08,176
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,126
2022-02-17,255
2022-02-18,261
2022-02-19,128
2022-02-20,266
2022-02-21,164
2022-02-22,351
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,231
2022-04-28,300
2022-04-29,140
2022-04-30,137
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,40
2022-05-05,87
2022-05-06,370
2022-05-07,24
2022-05-08,242
2022-05-09,295
2022-05-10,306
2022-05-11,0
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,502
2022-05-21,222
2022-05-22,32
2022-05-23,0
2022-05-24,0
2022-05-25,141
2022-05-26,60
2022-05-27,126
2022-05-28,185
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,333
2022-06-02,264
2022-06-03,445
2022-06-04,110
2022-06-05,36
2022-06-06,60
2022-06-07,200
2022-06-08,308
2022-06-09,189
2022-06-10,141
2022-06-11,305
2022-06-12,127
2022-06-13,270
2022-06-14,22
2022-06-15,119
2022-06-16,235
2022-06-17,66
2022-06-18,245
2022-06-19,164
2022-06-20,72
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,459
2022-06-25,153
2022-06-26,309
2022-06-27,100
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,274
2022-07-02,289
2022-07-03,130
2022-07-04,63
2022-07-05,0
2022-07-06,0
2022-07-07,0
2022-07-08,56
2022-07-09,88
2022-07-10,279
2022-07-11,157
2022-07-12,235
2022-07-13,213
2022-07-14,303
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,61
2022-07-19,354
2022-07-20,142
2022-07-21,443
2022-07-22,148
2022-07-23,283
2022-07-24,0
2022-07-25,0
2022-07-26,0
2022-07-27,185
2022-07-28,225
2022-07-29,170
2022-07-30,355
2022-07-31,385
2022-08-01,80
2022-08-02,0
2022-08-03,0
2022-08-04,0
2022-08-05,0
2022-08-06,0
2022-08-07,133
2022-08-08,88
2022-08-09,83
2022-08-10,148
2022-08-11,97
2022-08-12,50
2022-08-13,0
2022-08-20,0
2022-08-21,175
2022-08-22,142
2022-08-23,201
2022-08-24,209
2022-08-25,286
2022-08-26,361
2022-08-27,284
2022-08-28,0
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-17,0
2022-09-18,196
2022-09-19,271
2022-09-20,77
2022-09-21,288
2022-09-22,229
2022-09-23,0
2022-09-24,448
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-29,0
2022-10-30,48
2022-10-31,90
2022-11-01,179
2022-11-02,192
2022-11-03,95
2022-11-04,112
2022-11-05,0
